iter	Passed	Remaining
0	0	35
1	0	31
2	0	30
3	1	27
4	1	27
5	1	27
6	2	27
7	2	27
8	2	27
9	3	27
10	3	26
11	3	26
12	3	26
13	4	25
14	4	25
15	4	25
16	5	24
17	5	24
18	5	23
19	5	23
20	6	23
21	6	22
22	6	22
23	7	22
24	7	22
25	7	21
26	7	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	14
49	14	14
50	14	14
51	15	13
52	15	13
53	15	13
54	15	13
55	16	12
56	16	12
57	16	12
58	17	12
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	21	7
74	22	7
75	22	7
76	22	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	26	3
88	26	3
89	26	2
90	27	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	29	0
98	29	0
99	29	0
